best_tour_length,best_tour
231.14453038857056,"[4, 0, 2, 1, 3]"
136.29041840451717,"[4, 0, 3, 2, 1]"
245.451953705883,"[4, 0, 1, 3, 2]"
182.68487634255555,"[0, 2, 1, 3, 4]"
275.043931628555,"[2, 1, 3, 4, 0]"
173.74619739611924,"[0, 3, 2, 1, 4]"
287.910622712761,"[2, 0, 1, 3, 4]"
209.54566040452397,"[4, 2, 1, 0, 3]"
214.2589059783711,"[2, 4, 0, 3, 1]"
245.69668182204876,"[0, 1, 2, 3, 4]"
151.8751949437999,"[2, 4, 0, 1, 3]"
215.58917135836413,"[1, 3, 0, 2, 4]"
221.35500528927633,"[1, 0, 3, 2, 4]"
159.96083614929466,"[3, 2, 1, 4, 0]"
177.82526487975335,"[2, 1, 3, 0, 4]"
217.73653432805278,"[2, 3, 1, 4, 0]"
198.5432870543761,"[1, 0, 3, 4, 2]"
121.67371469490291,"[2, 1, 3, 4, 0]"
234.70008924365365,"[4, 2, 3, 0, 1]"
218.68474993765773,"[3, 0, 4, 2, 1]"
