best_tour_length,best_tour
826.2163326362985,"[95, 65, 99, 49, 62, 35, 56, 6, 51, 75, 80, 98, 48, 27, 85, 8, 89, 22, 7, 25, 94, 66, 1, 70, 18, 74, 91, 15, 50, 9, 86, 81, 46, 36, 58, 3, 39, 26, 31, 63, 52, 68, 20, 67, 32, 12, 0, 55, 44, 38, 42, 78, 30, 34, 14, 92, 72, 40, 23, 4, 88, 28, 96, 54, 64, 19, 59, 77, 69, 53, 97, 16, 82, 93, 17, 79, 87, 61, 83, 37, 47, 76, 21, 43, 71, 29, 84, 73, 60, 24, 11, 41, 45, 2, 13, 10, 57, 5, 90, 33]"
846.5156129686264,"[27, 42, 51, 41, 69, 0, 70, 23, 92, 29, 54, 19, 72, 78, 73, 34, 20, 21, 8, 9, 68, 48, 90, 1, 44, 18, 38, 60, 76, 46, 33, 96, 35, 57, 2, 87, 74, 47, 31, 36, 4, 79, 6, 94, 39, 67, 86, 28, 52, 43, 37, 62, 5, 95, 25, 98, 80, 53, 30, 22, 93, 12, 61, 32, 50, 88, 58, 16, 56, 89, 84, 26, 97, 24, 59, 83, 55, 71, 75, 7, 81, 17, 13, 45, 82, 3, 66, 99, 14, 15, 49, 77, 85, 64, 65, 91, 63, 40, 11, 10]"
788.8186455310295,"[27, 37, 21, 26, 65, 86, 39, 78, 22, 25, 50, 72, 59, 66, 71, 18, 55, 13, 92, 79, 76, 29, 28, 33, 1, 56, 42, 94, 88, 67, 30, 61, 47, 2, 48, 35, 96, 87, 93, 49, 23, 24, 75, 3, 40, 85, 9, 82, 15, 36, 69, 57, 98, 19, 63, 95, 5, 6, 44, 54, 80, 10, 41, 0, 11, 90, 52, 14, 99, 60, 12, 46, 51, 74, 64, 68, 16, 81, 8, 77, 58, 53, 62, 97, 34, 70, 91, 38, 83, 20, 89, 43, 32, 45, 84, 17, 31, 73, 4, 7]"
824.3482782855839,"[62, 21, 51, 76, 42, 68, 39, 64, 89, 0, 2, 37, 91, 72, 78, 60, 92, 34, 97, 15, 50, 84, 29, 36, 38, 96, 40, 88, 94, 46, 59, 95, 83, 26, 14, 1, 10, 49, 32, 82, 70, 5, 47, 20, 75, 6, 45, 53, 56, 85, 98, 63, 69, 52, 87, 44, 86, 12, 77, 23, 80, 30, 24, 55, 4, 90, 22, 74, 35, 66, 81, 16, 67, 93, 48, 3, 11, 17, 28, 58, 65, 18, 31, 79, 43, 25, 19, 7, 57, 13, 9, 27, 33, 8, 71, 61, 73, 41, 99, 54]"
766.078034936491,"[77, 49, 85, 51, 38, 64, 23, 92, 32, 52, 65, 31, 66, 73, 28, 74, 78, 50, 11, 69, 81, 61, 82, 47, 44, 42, 84, 26, 63, 10, 53, 48, 72, 46, 34, 0, 57, 21, 58, 76, 5, 12, 40, 79, 98, 9, 59, 17, 39, 6, 41, 71, 89, 70, 43, 8, 93, 55, 36, 35, 16, 45, 86, 60, 20, 24, 19, 94, 1, 87, 56, 67, 95, 88, 7, 62, 3, 27, 54, 37, 14, 13, 75, 68, 33, 25, 30, 80, 4, 90, 15, 97, 99, 22, 83, 29, 96, 18, 91, 2]"
828.3518425229983,"[19, 75, 53, 66, 64, 46, 33, 45, 60, 74, 36, 15, 24, 61, 77, 84, 76, 1, 2, 28, 49, 67, 92, 62, 12, 4, 69, 8, 50, 94, 32, 43, 83, 38, 47, 98, 7, 93, 55, 26, 85, 22, 54, 65, 89, 29, 88, 82, 48, 58, 3, 97, 44, 11, 30, 99, 9, 57, 91, 17, 18, 90, 16, 78, 81, 63, 40, 6, 13, 39, 35, 96, 27, 37, 41, 79, 80, 87, 70, 14, 0, 20, 68, 34, 73, 31, 86, 71, 10, 23, 51, 21, 95, 52, 42, 59, 56, 72, 25, 5]"
883.9135300490002,"[74, 37, 97, 31, 27, 5, 48, 4, 66, 41, 56, 32, 33, 9, 14, 87, 59, 60, 98, 24, 92, 95, 63, 71, 64, 99, 38, 58, 11, 40, 18, 62, 44, 6, 75, 28, 77, 36, 10, 49, 88, 67, 29, 79, 51, 80, 47, 26, 55, 68, 93, 13, 12, 85, 53, 50, 21, 0, 16, 70, 84, 52, 65, 46, 73, 89, 43, 1, 23, 81, 69, 54, 35, 25, 20, 94, 76, 72, 45, 30, 39, 86, 2, 19, 96, 34, 7, 8, 17, 3, 90, 22, 42, 57, 61, 15, 91, 82, 83, 78]"
801.8711694657599,"[92, 89, 16, 78, 25, 88, 72, 0, 56, 1, 66, 2, 98, 19, 31, 73, 60, 58, 51, 91, 20, 14, 87, 99, 69, 5, 43, 39, 10, 45, 40, 68, 52, 65, 96, 79, 64, 34, 3, 74, 7, 32, 6, 48, 77, 70, 67, 59, 24, 54, 90, 41, 93, 21, 15, 23, 9, 8, 94, 86, 4, 44, 82, 27, 85, 18, 35, 38, 55, 84, 33, 81, 95, 22, 37, 29, 17, 28, 71, 62, 49, 42, 83, 47, 57, 61, 97, 53, 46, 12, 36, 13, 30, 50, 26, 63, 80, 11, 76, 75]"
845.2279725224279,"[5, 51, 69, 68, 72, 19, 81, 94, 17, 27, 90, 31, 34, 58, 57, 23, 12, 26, 82, 54, 56, 4, 35, 22, 16, 7, 63, 65, 44, 30, 53, 6, 50, 91, 60, 13, 32, 25, 76, 33, 92, 78, 61, 2, 14, 73, 67, 29, 84, 48, 9, 98, 3, 95, 52, 83, 37, 45, 39, 80, 46, 66, 62, 24, 75, 40, 8, 49, 85, 87, 86, 88, 41, 18, 70, 0, 42, 36, 71, 10, 64, 15, 99, 96, 47, 43, 89, 77, 21, 79, 20, 28, 11, 38, 59, 55, 93, 74, 1, 97]"
900.8987137152895,"[78, 26, 60, 4, 95, 11, 29, 18, 57, 58, 7, 34, 31, 55, 32, 53, 47, 36, 63, 59, 12, 48, 15, 74, 83, 80, 38, 44, 65, 1, 25, 20, 49, 51, 87, 33, 52, 6, 72, 39, 37, 19, 0, 16, 93, 13, 84, 41, 77, 73, 35, 14, 76, 64, 90, 81, 2, 9, 71, 67, 56, 91, 61, 85, 54, 17, 10, 89, 97, 46, 69, 88, 40, 75, 27, 70, 62, 68, 96, 43, 66, 94, 30, 98, 99, 82, 45, 21, 3, 8, 42, 23, 92, 50, 28, 86, 24, 22, 79, 5]"
