aco,antq,pso
826.2163326362985,839.616836034943,1022.6511027876428
846.5156129686264,856.3540514644985,1013.0054038477426
788.8186455310295,784.3665178594551,995.9778305524834
824.3482782855839,826.5156341079897,964.5918954905926
766.078034936491,798.5893995476079,908.1786678208404
828.3518425229983,871.3501726205321,1059.753325527509
883.9135300490002,902.7951791496528,957.9617189057903
801.8711694657599,795.6944991952486,974.9845637224148
845.2279725224279,878.2075582055932,964.4530989920888
900.8987137152895,894.0616001116402,978.4763127221812
842.7239326035271,833.392652419413,913.3531387968123
793.5629177275663,776.3124806643366,942.4626074124562
874.5039285535304,946.6285977775204,1033.637390631153
772.3899109951567,849.3336236999323,994.8977474866546
831.5635996189654,896.742719563644,924.599898180911
796.0083533443095,850.4152779519546,935.0167138348132
819.6288948972108,868.9332537025274,904.3529324998392
797.4991236186823,831.0460873260622,902.8655446297028
856.5197943831233,873.1016810658335,937.9118829644352
777.4659988061768,808.6714817165984,880.2450785906274
