aco,antq,pso
375.9732487047286,372.9186457849802,372.9186457849802
441.1309139397456,428.33943737807,428.3394373780701
428.0023780445764,421.4945884973818,426.19973852619273
418.7325961830546,405.4245406055857,408.6886615124304
417.7330093226231,415.78378976087816,413.2079779738629
507.8017124800773,501.5224238316716,501.5224238316716
455.7752875829007,448.8785759201473,460.7096301900039
460.1137108947997,456.13406839848574,456.1340683984858
452.2760397776364,439.0173643739288,456.5261692661273
496.7532898980706,475.0852103201249,484.5317494254919
381.6457839469952,381.5247200611896,381.5247200611896
390.927359029214,386.8179813099703,389.3280076961336
504.45309805658775,505.7824375015029,487.7548978249689
466.2640945970744,462.840016419222,469.6510910297245
404.89016711048856,405.9943840605012,404.4580894683005
408.0775438288382,396.7847748754636,396.7847748754636
468.0147888828232,455.695089653809,457.9086132301858
447.4708380687008,443.1128708952385,446.7135247181359
453.3871262213324,451.2333624906401,451.2333624906401
412.98132403120593,411.6345031175863,411.6345031175864
