best_tour_length,best_tour
231.14453038857056,"[4, 0, 2, 1, 3]"
136.29041840451717,"[4, 0, 3, 2, 1]"
245.451953705883,"[4, 0, 1, 3, 2]"
180.45665587146823,"[2, 1, 4, 3, 0]"
275.04393162855496,"[1, 2, 0, 4, 3]"
173.74619739611924,"[0, 3, 2, 1, 4]"
287.91062271276087,"[0, 1, 3, 4, 2]"
209.54566040452397,"[4, 2, 1, 0, 3]"
214.25890597837108,"[2, 1, 3, 0, 4]"
252.83467985219448,"[4, 2, 3, 1, 0]"
151.8751949437999,"[1, 0, 4, 2, 3]"
215.58917135836413,"[1, 3, 0, 2, 4]"
221.35500528927636,"[0, 1, 4, 2, 3]"
159.96083614929466,"[4, 0, 3, 2, 1]"
190.70931503376025,"[4, 0, 3, 2, 1]"
217.73653432805278,"[0, 2, 3, 1, 4]"
198.5432870543761,"[2, 4, 3, 0, 1]"
121.7882519366789,"[2, 1, 3, 0, 4]"
234.70008924365365,"[1, 4, 2, 3, 0]"
218.68474993765773,"[1, 2, 4, 0, 3]"
