aco,antq,pso
231.14453038857056,231.14453038857056,231.1445303885705
136.29041840451717,136.29041840451717,136.2904184045171
245.451953705883,245.451953705883,245.45195370588291
180.45665587146823,182.68487634255555,180.45665587146817
275.04393162855496,275.043931628555,275.0439316285549
173.74619739611924,173.74619739611924,173.7461973961192
287.91062271276087,287.910622712761,287.91062271276087
209.545660404524,209.545660404524,209.545660404524
214.25890597837108,214.2589059783711,214.25890597837105
252.83467985219448,245.6966818220488,245.69668182204876
151.8751949437999,151.8751949437999,151.87519494379984
215.58917135836413,215.58917135836413,215.58917135836404
221.3550052892764,221.35500528927636,221.3550052892763
159.96083614929466,159.96083614929466,159.96083614929466
190.70931503376025,177.82526487975335,177.82526487975332
217.7365343280528,217.7365343280528,217.73653432805276
198.5432870543761,198.5432870543761,198.54328705437604
121.7882519366789,121.67371469490293,121.67371469490288
234.70008924365365,234.70008924365365,234.7000892436536
218.68474993765773,218.68474993765773,218.6847499376577
